,coordinate,ip,country,timest,os,connection_type,accuracy,event_type,gps_speed,app_id,count
1,51.0602|-113.9178,75.158.88.192,CAN,1601555928,ios,wifi,9,GPS,"\\""""",30f2b3e2048caa32d54a77107609d52c,1
2,46.3819|-72.5708,"\\""""",CAN,1601555162,android,na,11,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
3,43.6939|-79.7157,173.206.166.55,CAN,1601554706,android,wifi,10,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4,55.0097|-85.4215,64.184.213.25,CAN,1601553797,ios,wifi,4,GPS,"\\""""",4d6bbc869b06056c93770ea4c2081d7c,1
5,45.4822|-73.3827,"\\""""",CAN,1601554119,ios,na,8,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
6,49.2793|-123.1265,192.157.102.10,CAN,1601554416,android,wifi,877,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
7,51.0944|-113.9740,68.145.81.47,CAN,1601554760,ios,wifi,10,GPS,"\\""""",6062f039cc76095f2e0f44a1e748d221,1
8,43.7474|-79.5092,173.206.173.194,CAN,1601554530,ios,wifi,2,GPS,"\\""""",4dbd18754728fc6244bc06ff8742707e,1
9,45.3132|-74.9689,216.104.111.5,CAN,1601556632,android,wifi,15,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
10,44.3402|-79.6516,70.24.169.253,CAN,1601556015,ios,wifi,14,GPS,"\\""""",30f2b3e2048caa32d54a77107609d52c,1
11,51.1532|-114.0703,96.53.8.230,CAN,1601556473,android,wifi,1669,GPS,"\\""""",7993ed4e315bb654b139abcd44154bac,1
12,43.8403|-79.5779,99.247.168.108,CAN,1601555179,android,wifi,4,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
13,46.6169|-72.6907,45.74.156.138,CAN,1601553769,android,wifi,13,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
14,48.4208|-71.1786,"\\""""",CAN,1601555609,android,na,9,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
15,43.2105|-79.9879,72.38.1.162,CAN,1601554823,ios,wifi,11,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
16,50.8929|-113.9458,198.53.80.123,CAN,1601556513,ios,wifi,9,GPS,"\\""""",011a6a6ee196da7e165c4f5e9fcab275,1
17,43.7768|-79.7327,65.93.118.84,CAN,1601554067,ios,na,7,GPS,"\\""""",9111daff59cc5460975f5f83e08a5345,1
18,42.9173|-81.1872,"\\""""",CAN,1601555699,android,na,20,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
19,53.2676|-110.0275,172.86.187.18,CAN,1601555257,android,wifi,25,GPS,"\\""""",d78ff2f41cbef879305640b157e5d03b,1
20,49.2544|-55.1715,142.134.136.169,CAN,1601556470,ios,wifi,14,GPS,"\\""""",8d11c000c24207c2d94b9cd2fd4ecc74,1
21,46.5849|-81.1986,67.69.69.13,CAN,1601555962,android,carrier,6,GPS,"\\""""",a536cae436831b558b3a4c6c92696737,1
22,45.4815|-73.6029,"\\""""",CAN,1601555649,android,na,11,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
23,55.1540|-118.7845,24.222.160.79,CAN,1601555088,android,wifi,17,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
24,49.2274|-122.9401,24.80.135.187,CAN,1601556484,ios,na,7,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
25,43.2254|-79.8320,99.236.10.94,CAN,1601557139,android,wifi,9,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
26,45.3784|-73.4904,"\\""""",CAN,1601556510,android,na,3,GPS,"\\""""",30ae46dc565c1bcffa05ee524938d5b2,1
27,43.3585|-80.3109,173.240.9.13,CAN,1601555440,android,wifi,11,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
28,56.6546|-111.3289,96.53.215.173,CAN,1601554676,android,wifi,10,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
29,46.3784|-72.5534,184.145.161.55,CAN,1601555954,android,na,4455,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
30,45.4652|-73.6260,"\\""""",CAN,1601557119,android,na,20,GPS,"\\""""",30ae46dc565c1bcffa05ee524938d5b2,1
31,43.6436|-79.5293,149.248.174.93,CAN,1601556901,android,wifi,4,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
32,45.2252|-63.1366,192.64.61.21,CAN,1601556503,android,wifi,32520,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
33,44.9189|-79.3640,24.146.30.209,CAN,1601555094,android,wifi,4627,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
34,45.2848|-75.8554,174.112.233.125,CAN,1601556173,ios,na,10,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
35,44.6126|-79.3999,65.92.234.129,CAN,1601554163,android,wifi,14094,GPS,"\\""""",1987c5fa941e88221b4da52528864664,1
36,45.6156|-73.3856,"\\""""",CAN,1601555260,android,na,2,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
37,43.1091|-80.7539,142.114.25.234,CAN,1601556571,android,wifi,13,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
38,49.2425|-102.9931,"\\""""",CAN,1601557076,android,na,4,GPS,"\\""""",30ae46dc565c1bcffa05ee524938d5b2,1
39,43.7658|-79.4149,99.241.13.153,CAN,1601555684,android,wifi,3481,GPS,"\\""""",5d4088e1acd85b90787b91bbf59f9b30,1
40,45.4255|-73.8801,76.68.149.40,CAN,1601554154,ios,wifi,5,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
41,53.1712|-99.2841,184.151.246.170,CAN,1601557006,android,carrier,7471,GPS,"\\""""",694feedf5a4535ea0199f592e670b3f7,1
